driver_id,city,join_date,experience_months,vehicle_type
D00001,Capital City,2022-07-04,6,Standard
D00002,Capital City,2020-02-09,35,Standard
D00003,Metroville,2021-10-20,14,Premium
D00004,Capital City,2022-12-26,0,Standard
D00005,Capital City,2020-07-26,29,Standard
D00006,Metroville,2022-08-17,4,XL
D00007,Capital City,2020-04-02,33,Premium
D00008,Metroville,2021-10-31,14,XL
D00009,Metroville,2022-01-02,12,Standard
D00010,Capital City,2022-10-14,2,Standard
D00011,Capital City,2020-08-28,28,Standard
D00012,Metroville,2021-07-12,17,Premium
D00013,Capital City,2020-11-14,25,Standard
D00014,Metroville,2021-09-08,16,XL
D00015,Metroville,2021-01-17,23,Standard
D00016,Capital City,2020-04-15,33,Standard
D00017,Capital City,2020-01-11,36,Premium
D00018,Capital City,2021-12-29,12,Standard
D00019,Capital City,2021-04-27,20,Standard
D00020,Metroville,2021-09-14,15,Standard
D00021,Metroville,2021-05-13,19,Standard
D00022,Metroville,2020-04-13,33,Standard
D00023,Metroville,2020-04-03,33,Premium
D00024,Metroville,2020-10-20,26,XL
D00025,Metroville,2020-12-31,24,Electric
D00026,Metroville,2020-04-21,32,Electric
D00027,Metroville,2021-05-06,20,Electric
D00028,Metroville,2022-06-18,6,Premium
D00029,Capital City,2021-10-10,14,Standard
D00030,Metroville,2022-05-16,7,XL
D00031,Metroville,2021-05-23,19,Standard
D00032,Capital City,2020-08-25,28,Standard
D00033,Capital City,2020-06-30,30,Standard
D00034,Metroville,2021-03-06,22,Standard
D00035,Capital City,2021-08-13,16,Electric
D00036,Metroville,2020-08-14,29,Standard
D00037,Metroville,2022-05-09,7,XL
D00038,Metroville,2022-01-06,12,Standard
D00039,Metroville,2020-05-25,31,Standard
D00040,Metroville,2021-03-19,21,Standard
D00041,Capital City,2022-05-14,7,Electric
D00042,Capital City,2021-01-20,23,Standard
D00043,Metroville,2020-10-08,27,Standard
D00044,Capital City,2022-04-14,8,Standard
D00045,Capital City,2020-04-16,33,Standard
D00046,Capital City,2020-04-05,33,Premium
D00047,Metroville,2020-09-10,28,Premium
D00048,Capital City,2021-09-08,16,Electric
D00049,Capital City,2022-11-03,1,Standard
D00050,Capital City,2021-05-16,19,Premium
D00051,Metroville,2021-07-02,18,Standard
D00052,Metroville,2020-02-27,34,Standard
D00053,Capital City,2021-10-18,14,Standard
D00054,Metroville,2020-09-16,27,Standard
D00055,Metroville,2022-08-30,4,Standard
D00056,Metroville,2021-03-11,22,Standard
D00057,Capital City,2021-07-15,17,Standard
D00058,Metroville,2021-03-22,21,Standard
D00059,Metroville,2020-09-11,28,Standard
D00060,Metroville,2020-10-22,26,Standard
D00061,Metroville,2020-07-10,30,Standard
D00062,Capital City,2020-08-14,29,Standard
D00063,Capital City,2020-10-07,27,XL
D00064,Capital City,2021-07-17,17,Standard
D00065,Capital City,2022-09-12,3,Standard
D00066,Metroville,2021-07-01,18,Standard
D00067,Capital City,2020-04-12,33,Standard
D00068,Capital City,2021-10-10,14,Standard
D00069,Capital City,2021-02-05,23,Electric
D00070,Capital City,2022-09-30,3,Standard
D00071,Capital City,2021-04-10,21,Electric
D00072,Metroville,2020-06-29,30,Standard
D00073,Capital City,2020-09-14,27,Standard
D00074,Capital City,2021-10-05,15,Standard
D00075,Metroville,2022-01-25,11,Standard
D00076,Metroville,2021-11-05,14,Standard
D00077,Capital City,2022-05-21,7,Standard
D00078,Capital City,2021-02-25,22,XL
D00079,Metroville,2022-04-12,8,Standard
D00080,Metroville,2022-11-22,1,Standard
D00081,Metroville,2022-11-19,1,Standard
D00082,Capital City,2020-11-16,25,Standard
D00083,Metroville,2022-07-01,6,Electric
D00084,Capital City,2021-02-18,22,XL
D00085,Capital City,2021-01-09,24,Standard
D00086,Capital City,2022-08-25,4,Electric
D00087,Metroville,2022-09-23,3,Standard
D00088,Metroville,2020-02-04,35,Standard
D00089,Metroville,2021-10-27,14,Premium
D00090,Metroville,2020-12-21,24,Standard
D00091,Metroville,2021-11-21,13,XL
D00092,Metroville,2022-02-14,10,Standard
D00093,Capital City,2020-10-13,27,Standard
D00094,Metroville,2021-09-19,15,Standard
D00095,Capital City,2021-05-17,19,Premium
D00096,Metroville,2022-02-05,11,Standard
D00097,Capital City,2020-11-27,25,XL
D00098,Capital City,2021-02-22,22,XL
D00099,Metroville,2020-09-07,28,Premium
D00100,Capital City,2021-10-17,14,XL
D00101,Capital City,2021-08-10,16,Standard
D00102,Capital City,2022-12-05,0,Premium
D00103,Capital City,2022-10-20,2,Standard
D00104,Capital City,2022-11-21,1,XL
D00105,Metroville,2020-01-19,35,Premium
D00106,Capital City,2022-06-06,6,Standard
D00107,Metroville,2020-03-10,34,Standard
D00108,Metroville,2020-10-09,27,Standard
D00109,Metroville,2020-04-13,33,Standard
D00110,Metroville,2022-10-07,2,Standard
D00111,Capital City,2022-02-14,10,Standard
D00112,Capital City,2021-06-01,19,Standard
D00113,Metroville,2021-04-24,20,Standard
D00114,Capital City,2022-11-13,1,Premium
D00115,Capital City,2021-09-17,15,Standard
D00116,Capital City,2021-08-13,16,Standard
D00117,Capital City,2022-10-24,2,Standard
D00118,Metroville,2021-06-23,18,Standard
D00119,Capital City,2022-04-23,8,Standard
D00120,Metroville,2020-11-19,25,Standard
D00121,Capital City,2020-10-03,27,Standard
D00122,Capital City,2022-04-08,8,Electric
D00123,Capital City,2021-06-28,18,XL
D00124,Capital City,2022-07-12,5,Standard
D00125,Metroville,2022-07-29,5,Premium
D00126,Metroville,2022-08-03,5,Standard
D00127,Capital City,2020-03-04,34,Standard
D00128,Capital City,2020-09-03,28,Premium
D00129,Metroville,2022-11-21,1,Standard
D00130,Metroville,2022-12-02,1,Electric
D00131,Metroville,2022-02-25,10,Standard
D00132,Capital City,2022-06-20,6,Standard
D00133,Metroville,2020-10-22,26,Standard
D00134,Metroville,2021-11-30,13,Standard
D00135,Capital City,2021-04-02,21,Standard
D00136,Metroville,2021-03-10,22,Standard
D00137,Metroville,2020-08-14,29,Electric
D00138,Metroville,2020-02-17,34,Electric
D00139,Metroville,2022-11-15,1,XL
D00140,Metroville,2021-04-23,20,Standard
D00141,Metroville,2021-06-19,18,Premium
D00142,Metroville,2020-06-06,31,Standard
D00143,Capital City,2021-11-12,13,Standard
D00144,Metroville,2022-06-11,6,XL
D00145,Metroville,2021-07-09,18,XL
D00146,Metroville,2020-05-11,32,Standard
D00147,Metroville,2020-11-21,25,Electric
D00148,Capital City,2021-05-15,19,Electric
D00149,Metroville,2020-08-05,29,XL
D00150,Metroville,2022-06-25,6,Standard
D00151,Capital City,2021-10-03,15,Standard
D00152,Metroville,2020-09-21,27,Standard
D00153,Capital City,2021-06-10,19,Standard
D00154,Metroville,2020-04-17,32,Electric
D00155,Metroville,2021-05-29,19,Standard
D00156,Capital City,2020-01-05,36,XL
D00157,Metroville,2020-02-29,34,Premium
D00158,Metroville,2021-08-19,16,Standard
D00159,Metroville,2020-11-09,26,Standard
D00160,Metroville,2022-11-27,1,Electric
D00161,Capital City,2020-03-20,33,Electric
D00162,Capital City,2020-10-17,26,Standard
D00163,Metroville,2020-11-29,25,Electric
D00164,Capital City,2022-05-25,7,Electric
D00165,Metroville,2020-06-19,30,Standard
D00166,Metroville,2021-09-30,15,Standard
D00167,Metroville,2022-11-12,1,Standard
D00168,Capital City,2020-10-10,27,Standard
D00169,Metroville,2021-09-13,15,Premium
D00170,Metroville,2020-06-30,30,Standard
D00171,Metroville,2020-12-05,25,XL
D00172,Metroville,2020-04-30,32,Electric
D00173,Metroville,2022-05-23,7,Standard
D00174,Metroville,2021-04-05,21,Standard
D00175,Metroville,2021-02-20,22,Premium
D00176,Metroville,2022-03-13,9,Premium
D00177,Capital City,2022-07-14,5,Premium
D00178,Metroville,2022-06-20,6,Electric
D00179,Metroville,2022-01-20,11,Standard
D00180,Capital City,2021-11-02,14,Standard
D00181,Capital City,2020-04-03,33,Standard
D00182,Metroville,2021-08-08,17,Standard
D00183,Metroville,2022-07-14,5,Standard
D00184,Metroville,2022-03-18,9,XL
D00185,Capital City,2020-09-28,27,XL
D00186,Capital City,2020-05-07,32,Standard
D00187,Capital City,2020-01-26,35,Standard
D00188,Metroville,2021-09-12,15,Premium
D00189,Metroville,2022-09-03,4,XL
D00190,Metroville,2020-03-27,33,Standard
D00191,Metroville,2021-08-03,17,Standard
D00192,Capital City,2020-09-10,28,Electric
D00193,Metroville,2021-04-04,21,Standard
D00194,Metroville,2021-02-09,23,XL
D00195,Metroville,2022-02-27,10,Electric
D00196,Capital City,2022-10-19,2,XL
D00197,Metroville,2021-03-14,21,Premium
D00198,Capital City,2020-09-21,27,XL
D00199,Capital City,2022-12-21,0,Standard
D00200,Capital City,2021-07-01,18,Electric
D00201,Capital City,2021-10-30,14,Premium
D00202,Metroville,2020-04-06,33,Standard
D00203,Capital City,2020-03-14,34,Standard
D00204,Metroville,2021-03-31,21,Standard
D00205,Capital City,2021-09-06,16,Standard
D00206,Metroville,2021-03-13,21,Standard
D00207,Capital City,2020-06-01,31,Electric
D00208,Metroville,2020-04-17,32,Standard
D00209,Capital City,2020-02-13,35,XL
D00210,Capital City,2022-07-19,5,Premium
D00211,Capital City,2022-05-31,7,Standard
D00212,Metroville,2020-08-13,29,Premium
D00213,Capital City,2022-07-27,5,Standard
D00214,Capital City,2020-11-23,25,XL
D00215,Capital City,2022-04-16,8,Standard
D00216,Metroville,2022-12-05,0,XL
D00217,Metroville,2022-02-04,11,Standard
D00218,Capital City,2020-02-02,35,XL
D00219,Metroville,2022-04-28,8,XL
D00220,Metroville,2022-01-26,11,Standard
D00221,Capital City,2021-11-23,13,XL
