rider_id,city,signup_date,rider_type
R000001,Metroville,2021-03-18,Power
R000002,Capital City,2022-09-09,Occasional
R000003,Metroville,2022-12-07,Regular
R000004,Metroville,2022-03-26,Power
R000005,Capital City,2022-04-26,New
R000006,Metroville,2022-05-18,Power
R000007,Capital City,2022-08-12,Regular
R000008,Metroville,2022-09-19,Regular
R000009,Metroville,2021-02-08,Occasional
R000010,Metroville,2021-06-22,Regular
R000011,Capital City,2022-10-04,Regular
R000012,Metroville,2021-05-07,Regular
R000013,Metroville,2021-10-26,New
R000014,Metroville,2022-11-30,Occasional
R000015,Metroville,2022-12-02,Regular
R000016,Capital City,2022-09-28,Regular
R000017,Metroville,2022-05-23,Power
R000018,Capital City,2022-05-08,Power
R000019,Metroville,2021-08-02,Regular
R000020,Capital City,2021-04-25,Occasional
R000021,Metroville,2022-12-05,Occasional
R000022,Metroville,2021-06-06,Power
R000023,Metroville,2022-06-12,Occasional
R000024,Metroville,2021-03-07,Occasional
R000025,Metroville,2021-01-13,Regular
R000026,Capital City,2021-06-22,New
R000027,Capital City,2021-10-29,Power
R000028,Metroville,2022-05-21,Power
R000029,Metroville,2021-09-29,Regular
R000030,Metroville,2021-05-08,Regular
R000031,Metroville,2022-03-23,Regular
R000032,Capital City,2022-12-26,Regular
R000033,Metroville,2022-07-22,Occasional
R000034,Metroville,2021-01-17,Power
R000035,Metroville,2021-10-26,Power
R000036,Capital City,2022-01-18,Regular
R000037,Metroville,2022-03-23,Power
R000038,Capital City,2022-07-26,New
R000039,Capital City,2022-05-26,Regular
R000040,Metroville,2022-01-22,Regular
R000041,Capital City,2022-09-19,Occasional
R000042,Metroville,2022-09-29,Regular
R000043,Metroville,2021-12-08,Regular
R000044,Capital City,2022-09-24,Occasional
R000045,Capital City,2021-12-30,Occasional
R000046,Metroville,2022-01-14,New
R000047,Capital City,2021-04-23,Occasional
R000048,Capital City,2022-04-06,Occasional
R000049,Metroville,2022-11-18,Occasional
R000050,Metroville,2021-09-18,Regular
R000051,Metroville,2021-07-01,Occasional
R000052,Metroville,2022-08-27,Occasional
R000053,Capital City,2021-12-10,Regular
R000054,Metroville,2022-10-13,New
R000055,Metroville,2021-06-15,Regular
R000056,Metroville,2022-03-07,Regular
R000057,Capital City,2021-03-29,Power
R000058,Capital City,2021-04-08,Power
R000059,Capital City,2021-12-27,Regular
R000060,Capital City,2021-05-20,Occasional
R000061,Capital City,2022-06-19,Power
R000062,Metroville,2021-01-10,Regular
R000063,Metroville,2022-10-22,Occasional
R000064,Capital City,2022-11-16,Power
R000065,Metroville,2021-02-23,Occasional
R000066,Metroville,2022-05-13,Regular
R000067,Metroville,2022-03-11,Regular
R000068,Capital City,2022-10-12,Regular
R000069,Metroville,2022-05-08,New
R000070,Metroville,2022-09-20,Power
R000071,Capital City,2021-12-08,Regular
R000072,Metroville,2022-03-23,Regular
R000073,Metroville,2021-09-24,Regular
R000074,Capital City,2021-03-22,Occasional
R000075,Metroville,2021-12-24,Regular
R000076,Capital City,2022-07-19,Regular
R000077,Metroville,2021-12-18,Occasional
R000078,Capital City,2022-01-03,Regular
R000079,Capital City,2022-06-01,New
R000080,Metroville,2021-02-14,New
R000081,Metroville,2022-04-03,Occasional
R000082,Capital City,2021-01-13,Occasional
R000083,Metroville,2021-02-01,Power
R000084,Metroville,2021-03-09,Regular
R000085,Metroville,2022-10-20,Occasional
R000086,Capital City,2021-04-18,Regular
R000087,Metroville,2021-03-22,Regular
R000088,Capital City,2022-07-10,Regular
R000089,Capital City,2021-07-04,Regular
R000090,Capital City,2022-04-26,Regular
R000091,Metroville,2022-07-18,Regular
R000092,Capital City,2021-09-15,Power
R000093,Metroville,2021-12-09,Occasional
R000094,Capital City,2022-03-31,Occasional
R000095,Metroville,2021-03-17,Regular
R000096,Metroville,2021-01-27,Power
R000097,Capital City,2021-06-10,Occasional
R000098,Metroville,2022-05-22,Regular
R000099,Capital City,2021-01-30,Power
R000100,Capital City,2022-02-03,New
R000101,Capital City,2022-11-05,Regular
R000102,Metroville,2022-05-12,Power
R000103,Capital City,2022-11-30,Regular
R000104,Metroville,2022-02-12,Occasional
R000105,Metroville,2021-11-17,Regular
R000106,Metroville,2022-04-02,Occasional
R000107,Capital City,2022-10-26,Regular
R000108,Capital City,2022-05-30,Regular
R000109,Metroville,2021-05-31,New
R000110,Capital City,2022-02-13,Power
R000111,Capital City,2022-05-29,Occasional
R000112,Metroville,2021-03-01,Regular
R000113,Metroville,2021-08-08,Regular
R000114,Capital City,2021-11-22,Regular
R000115,Capital City,2021-03-14,Occasional
R000116,Capital City,2021-09-19,Occasional
R000117,Metroville,2022-08-08,Occasional
R000118,Metroville,2022-04-05,New
R000119,Metroville,2022-08-12,Regular
R000120,Capital City,2022-04-24,Regular
R000121,Capital City,2021-06-06,Power
R000122,Capital City,2021-06-29,Regular
R000123,Metroville,2022-04-07,Power
R000124,Metroville,2021-05-13,Power
R000125,Capital City,2021-10-20,Power
R000126,Metroville,2021-05-14,Regular
R000127,Capital City,2021-11-19,Regular
R000128,Metroville,2021-12-27,Occasional
R000129,Capital City,2022-05-22,Occasional
R000130,Metroville,2022-08-13,Regular
R000131,Capital City,2021-07-29,Power
R000132,Metroville,2021-08-14,Occasional
R000133,Capital City,2022-09-30,New
R000134,Capital City,2022-11-14,New
