ride_id,rider_id,driver_id,city,zone,request_time,pickup_time,completion_time,distance_km,fare,surge_multiplier,wait_time,trip_duration,status,cancellation_reason
REQ0000001,R005332,D02421,Capital City,Westside,2023-02-10 13:22:01,2023-02-10 13:29:13,2023-02-10 13:47:31,10.2,17.48,1.0,7.2,18.3,Completed,
REQ0000002,R009530,D02349,Metroville,Airport,2023-01-13 14:27:44,2023-01-13 14:32:38,2023-01-13 14:37:32,1.7,6.86,1.3,4.9,4.9,Completed,
REQ0000003,R005259,D02745,Capital City,University Area,2023-03-04 17:48:57,2023-03-04 17:51:33,2023-03-04 18:06:03,6.9,14.25,1.1,2.6,14.5,Completed,
REQ0000004,R012464,D01337,Metroville,Suburbs,2023-03-22 09:59:06,2023-03-22 10:05:36,2023-03-22 10:18:42,6.8,12.62,1.0,6.5,13.1,Completed,
REQ0000005,R014416,D02291,Capital City,Central Business District,2023-01-05 21:20:19,2023-01-05 21:23:37,2023-01-05 21:55:55,10.9,26.55,1.3,3.3,32.3,Completed,
REQ0000006,R000584,D02561,Capital City,Westside,2023-01-17 19:37:55,2023-01-17 19:42:37,2023-01-17 20:07:19,13.0,30.53,1.4,4.7,24.7,Completed,
REQ0000007,R014613,D02240,Metroville,Tech Park,2023-03-31 19:36:24,2023-03-31 19:50:18,2023-03-31 19:57:12,3.8,21.86,2.7,13.9,6.9,Completed,
REQ0000008,R003350,D00186,Capital City,University Area,2023-01-23 11:57:28,2023-01-23 12:01:10,2023-01-23 12:24:52,9.0,20.23,1.2,3.7,23.7,Completed,
REQ0000009,R004130,D02457,Capital City,Industrial Zone,2023-01-20 15:53:04,2023-01-20 15:57:58,2023-01-20 15:59:40,1.1,4.08,1.0,4.9,1.7,Completed,
REQ0000010,R000888,D01492,Capital City,University Area,2023-03-25 16:57:11,2023-03-25 17:00:17,2023-03-25 17:15:11,9.2,22.08,1.4,3.1,14.9,Completed,
REQ0000011,R003167,D00374,Metroville,Tech Park,2023-03-05 19:14:45,2023-03-05 19:17:45,2023-03-05 19:23:27,4.2,10.91,1.3,3.0,5.7,Completed,
REQ0000012,R009062,D02518,Capital City,Industrial Zone,2023-03-19 11:36:01,2023-03-19 11:40:13,2023-03-19 12:32:19,17.8,31.67,1.0,4.2,52.1,Completed,
REQ0000013,R014801,D00389,Metroville,Suburbs,2023-03-09 08:57:44,2023-03-09 09:02:14,2023-03-09 09:07:14,1.8,6.49,1.2,4.5,5.0,Completed,
REQ0000014,R007125,D02279,Metroville,Airport,2023-03-31 19:27:04,2023-03-31 19:31:10,2023-03-31 19:45:58,10.6,19.18,1.1,4.1,14.8,Completed,
REQ0000015,R011583,,Capital City,Central Business District,2023-01-18 11:07:01,,,,,1.2,1.3,,Cancelled_Rider,Wait time too long
REQ0000016,R007715,D02835,Capital City,Central Business District,2023-01-26 11:28:42,2023-01-26 11:32:18,2023-01-26 11:36:12,2.6,9.31,1.5,3.6,3.9,Completed,
REQ0000017,R002340,D02849,Capital City,Industrial Zone,2023-01-24 16:37:26,2023-01-24 16:39:38,2023-01-24 16:52:32,5.9,11.52,1.0,2.2,12.9,Completed,
REQ0000018,R007691,,Capital City,Industrial Zone,2023-03-31 14:25:00,,,,,1.0,0.8,,Cancelled_Rider,Wait time too long
REQ0000019,R014485,D00034,Metroville,Tech Park,2023-01-02 07:07:33,2023-01-02 07:11:21,2023-01-02 07:55:15,20.5,47.16,1.4,3.8,43.9,Completed,
REQ0000020,R004457,D00943,Capital City,Westside,2023-02-01 15:55:30,2023-02-01 16:01:30,2023-02-01 16:31:06,12.5,21.94,1.0,6.0,29.6,Completed,
REQ0000021,R014743,D02949,Metroville,Tech Park,2023-01-23 11:24:35,2023-01-23 11:31:23,2023-01-23 11:43:05,4.5,13.52,1.4,6.8,11.7,Completed,
REQ0000022,R013071,D01773,Metroville,Airport,2023-03-07 18:09:55,2023-03-07 18:17:49,2023-03-07 18:27:25,2.7,10.05,1.4,7.9,9.6,Completed,
REQ0000023,R009828,D00804,Metroville,Residential North,2023-03-22 08:48:26,2023-03-22 08:55:26,2023-03-22 09:19:20,10.8,26.66,1.4,7.0,23.9,Completed,
REQ0000024,R008165,D00115,Capital City,University Area,2023-01-06 01:55:20,2023-01-06 01:58:32,2023-01-06 02:36:08,18.4,30.22,1.0,3.2,37.6,Completed,
REQ0000025,R002597,D02450,Capital City,University Area,2023-02-27 06:38:53,2023-02-27 06:44:35,2023-02-27 07:12:59,20.0,43.06,1.4,5.7,28.4,Completed,
REQ0000026,R012953,,Capital City,Westside,2023-03-24 00:55:48,,,,,1.0,1.2,,Cancelled_Rider,Wait time too long
REQ0000027,R002091,D01516,Metroville,Residential North,2023-03-18 14:33:18,2023-03-18 14:38:54,2023-03-18 14:58:18,11.0,24.19,1.3,5.6,19.4,Completed,
REQ0000028,R007521,D01381,Metroville,Tech Park,2023-01-19 09:49:41,2023-01-19 09:53:23,2023-01-19 10:25:17,16.6,29.93,1.1,3.7,31.9,Completed,
REQ0000029,R010953,D01638,Capital City,Industrial Zone,2023-02-13 13:19:53,2023-02-13 13:27:23,2023-02-13 14:07:59,21.5,34.39,1.0,7.5,40.6,Completed,
REQ0000030,R003731,D01628,Metroville,Airport,2023-03-04 19:24:48,2023-03-04 19:28:48,2023-03-04 19:52:36,17.6,38.07,1.4,4.0,23.8,Completed,
REQ0000031,R005252,D01308,Capital City,University Area,2023-03-10 18:33:39,2023-03-10 18:41:15,2023-03-10 19:35:21,22.0,51.82,1.4,7.6,54.1,Completed,
REQ0000032,R005026,D02886,Capital City,University Area,2023-01-30 17:20:59,2023-01-30 17:24:05,2023-01-30 18:48:05,24.3,66.39,1.5,3.1,84.0,Completed,
REQ0000033,R007154,D02062,Metroville,Residential North,2023-02-12 12:33:43,2023-02-12 12:38:13,2023-02-12 13:03:55,16.8,34.47,1.3,4.5,25.7,Completed,
REQ0000034,R003947,,Capital City,Central Business District,2023-01-18 07:51:49,,,,,1.4,3.6,,Cancelled_Rider,Wait time too long
REQ0000035,R011250,D01590,Capital City,Westside,2023-02-16 06:45:34,2023-02-16 06:48:46,2023-02-16 07:10:46,12.1,20.32,1.0,3.2,22.0,Completed,
REQ0000036,R007908,D02194,Metroville,Tech Park,2023-01-16 23:46:46,2023-01-16 23:50:16,2023-01-17 00:16:04,15.4,24.85,1.0,3.5,25.8,Completed,
REQ0000037,R013224,D02521,Capital City,Westside,2023-02-13 03:11:56,2023-02-13 03:16:08,2023-02-13 03:32:38,10.4,17.46,1.0,4.2,16.5,Completed,
REQ0000038,R007065,D00702,Capital City,Industrial Zone,2023-03-14 00:29:34,2023-03-14 00:33:04,2023-03-14 00:40:04,2.7,6.79,1.0,3.5,7.0,Completed,
REQ0000039,R010734,D00015,Metroville,Suburbs,2023-02-18 16:52:35,2023-02-18 16:54:59,2023-02-18 17:41:35,20.5,34.09,1.0,2.4,46.6,Completed,
REQ0000040,R007513,D01765,Metroville,Suburbs,2023-03-05 19:29:59,2023-03-05 19:35:23,2023-03-05 19:51:47,5.8,17.88,1.5,5.4,16.4,Completed,
REQ0000041,R013037,D01537,Metroville,Airport,2023-02-24 08:40:31,2023-02-24 08:44:49,2023-02-24 08:58:25,3.9,11.99,1.3,4.3,13.6,Completed,
REQ0000042,R001145,D02906,Metroville,Tech Park,2023-02-16 08:48:51,2023-02-16 08:51:15,2023-02-16 09:00:27,3.6,12.3,1.5,2.4,9.2,Completed,
REQ0000043,R014023,D02142,Capital City,Westside,2023-01-17 08:50:06,2023-01-17 08:53:18,2023-01-17 09:49:30,22.4,56.72,1.5,3.2,56.2,Completed,
REQ0000044,R007515,D00987,Metroville,Residential North,2023-01-02 17:07:21,2023-01-02 17:11:57,2023-01-02 17:27:39,6.5,18.98,1.5,4.6,15.7,Completed,
REQ0000045,R009589,D02880,Metroville,Airport,2023-03-15 17:48:17,2023-03-15 17:51:41,2023-03-15 17:55:41,1.6,7.53,1.5,3.4,4.0,Completed,
REQ0000046,R010438,D00724,Metroville,Tech Park,2023-01-29 03:10:51,2023-01-29 03:16:09,2023-01-29 03:19:39,1.4,4.71,1.0,5.3,3.5,Completed,
REQ0000047,R005589,D02471,Capital City,Westside,2023-03-15 08:47:39,2023-03-15 08:50:21,2023-03-15 09:09:57,6.9,20.58,1.5,2.7,19.6,Completed,
REQ0000048,R003396,D00865,Capital City,Central Business District,2023-01-31 04:29:39,2023-01-31 04:37:09,2023-01-31 05:00:09,7.7,15.19,1.0,7.5,23.0,Completed,
REQ0000049,R012194,D01959,Capital City,University Area,2023-03-27 16:19:27,2023-03-27 16:24:09,2023-03-27 16:33:45,6.6,15.42,1.3,4.7,9.6,Completed,
